,Text,Hindi text,Primary Intent,Secondary Intent,Initiated by,Response
1,Good morning sir.,गुड मॉर्निंग सर।,Greeting and Etiquette,Time of the day greeting,,
2,Good morning madam.,गुड मॉर्निंग मैडम ।,Greeting and Etiquette,Time of the day greeting,,
3,"Hello good morning Sir, I am speaking from Motilal.","हेलो गुड मॉर्निंग सर, मैं मोतीलाल से बोल रहा हूँ।",Greeting and Etiquette,Time of the day greeting,,
4,Morning sir I am your financial advisor speaking from Motilal Oswal.,मॉर्निंग सर मैं मोतीलाल ओसवाल की ओर से आपका फाइनेंसियल एडवाइजर बोल रहा हूं।,Greeting and Etiquette,Time of the day greeting,,
5,Hello a very good morning madam.,हेलो गुड मॉर्निंग मैडम।,Greeting and Etiquette,Time of the day greeting,,
6,Good afternoon sir.,गुड आफ्टरनून सर ।,Greeting and Etiquette,Time of the day greeting,,
7,Good afternoon madam.,गुड आफ्टरनून मैडम ।,Greeting and Etiquette,Time of the day greeting,,
8,"Hello good afternoon Sir, I am speaking from Motilal.",हेलो गुड आफ्टरनून सर मैं मोतीलाल से बोल रहा हूं।,Greeting and Etiquette,Time of the day greeting,,
9,Afternoon sir I am your financial advisor speaking from Motilal Oswal.,आफ्टरनून सर मैं मोतीलाल ओसवाल की ओर से आपका फाइनेंसियल एडवाइजर बोल रहा हूं।,Greeting and Etiquette,Time of the day greeting,,
10,Hello madam good evening.,हेलो मैडम गुड इवनिंग।,Greeting and Etiquette,Time of the day greeting,,
11,"Hello Sir, Happy Diwali !","हेलो सर, हैप्पी दिवाली!",Greeting and Etiquette,Festival Greeting,,
12,Happy Dusshera.,हैप्पी दशहरा,Greeting and Etiquette,Festival Greeting,,
13,Happy Diwali to you and your family Sir,हैप्पी दिवाली तो यू एंड योर फॅमिली सर।,Greeting and Etiquette,Festival Greeting,,
14,Happy Deepavali Sir,हैप्पी दीपावली सर।,Greeting and Etiquette,Festival Greeting,,
15,Happy Diwali,हैप्पी दिवाली सर।,Greeting and Etiquette,Festival Greeting,,
16,Happy Holi sir,हैप्पी होली सर।,Greeting and Etiquette,Festival Greeting,,
17,Merry Christmas sir,मेर्री क्रिसमस सर। ,Greeting and Etiquette,Festival Greeting,,
18,Happy eid.,हैप्पी ईद।,Greeting and Etiquette,Festival Greeting,,
19,Merry Christmas madam,मेर्री क्रिसमस मैडम। ,Greeting and Etiquette,Festival Greeting,,
20,Happy Holi madam.,हैप्पी होली मैडम।,Greeting and Etiquette,Festival Greeting,,
21,"Ok madam, Thank you.","ओके मैडम, थैंक यू ।",Greeting and Etiquette,Closing the call greeting,,
22,"Yes, OK  Thank you","हाँ, ठीक है थैंक यू ।",Greeting and Etiquette,Closing the call greeting,,
23,"Done Sir. OK, thank you OK?","किया सर। ठीक है, थैंक यू ठीक है?",Greeting and Etiquette,Closing the call greeting,,
24,"Ok madam, thank you.","ठीक है मैडम, थैंक यू।",Greeting and Etiquette,Closing the call greeting,,
25,"OK, thank you have a nice day sir.","ओके, थैंक यू हैवे  नाइस डे सर।",Greeting and Etiquette,Closing the call greeting,,
26,It was nice talking to you sir have a nice day.,इट वास् नाइस टॉकिंग तू  यू सर हैवे नाइस डे।,Greeting and Etiquette,Closing the call greeting,,
27,"It was nice talking to you madam, Thank you!","इट वास् नाइस टॉकिंग तू यू मैडम,थैंक यू ।",Greeting and Etiquette,Closing the call greeting,,
28,My apologies once again for any inconvenience. Thank you for your call.,किसी भी असुविधा के लिए एक बार फिर से मेरी क्षमायाचना। थैंक यू फॉर योर कॉल।,Greeting and Etiquette,Closing the call greeting,,
29,Thank you for calling Motilal Oswal. I hope you enjoy the rest of your day.,मोतीलाल ओसवाल को फोन करने के लिए धन्यवाद। मुझे आशा है कि आप अपने शेष दिन का आनंद लेंगे।,Greeting and Etiquette,Closing the call greeting,,
